time,population,cumpopulation
0,1934,1934
4,2811,4745
5,2561,7306
6,3194,10500
7,8326,18826
8,10896,29722
9,15262,44984
10,24675,69659
11,25567,95226
12,24731,119957
13,26262,146219
14,31712,177931
15,27221,205152
16,30074,235226
17,27076,262302
18,34685,296987
19,30364,327351
20,35805,363156
21,39568,402724
22,32507,435231
23,38768,473999
24,38989,512988
25,39940,552928
26,46208,599136
27,47704,646840
28,44596,691436
29,41470,732906
30,46292,779198
31,48297,827495
32,34880,862375
33,41750,904125
34,34383,938508
35,34500,973008
36,29729,1002737
37,15516,1018253
38,18479,1036732
39,14856,1051588
40,11148,1062736
41,8534,1071270
42,7108,1078378
43,7842,1086220
44,5505,1091725
45,4704,1096429
46,3715,1100144
47,3747,1103891
48,3007,1106898
49,3300,1110198
50,1661,1111859
51,1515,1113374
52,1099,1114473
53,797,1115270
54,1140,1116410
55,801,1117211
56,581,1117792
57,252,1118044
58,419,1118463
59,281,1118744
60,262,1119006
61,152,1119158
62,88,1119246
63,229,1119475
64,98,1119573
65,113,1119686
66,81,1119767
67,286,1120053
68,92,1120145
69,58,1120203
70,43,1120246
71,43,1120289
72,10,1120299
73,65,1120364
74,9,1120373
75,11,1120384
76,40,1120424
77,24,1120448
78,63,1120511
79,44,1120555
80,32,1120587
81,24,1120611
84,8,1120619
86,9,1120628
87,8,1120636
88,6,1120642
92,15,1120657
115,10,1120667
